Episode,Steps,Reward
366,142,10.00819672
367,114,10.00544959
368,165,10.02717391
369,188,10.05420054
370,163,10.09189189
371,165,10.11320755
372,160,10.13172043
373,164,10.15013405
374,149,10.1657754
375,160,10.184
376,178,10.20744681
377,161,10.22281167
378,142,10.22751323
379,139,10.24010554
380,186,10.27368421
381,136,10.27559055
382,180,10.30628272
383,158,10.32114883
384,153,10.3359375
385,184,10.35844156
386,185,10.38082902
387,165,10.41602067
388,160,10.45103093
389,153,10.46786632
390,184,10.49230769
391,172,10.51150895
392,173,10.53826531
393,130,10.53689567
394,170,10.56345178
395,186,10.60253165
396,165,10.62121212
397,160,10.64735516
398,182,10.68592965
399,181,10.71177945
400,154,10.7325
401,147,10.74314214
402,117,10.73880597
403,163,10.75434243
404,190,10.79455446
405,160,10.80987654
406,100,10.80049261
407,148,10.81081081
408,126,10.80882353
409,140,10.8190709
410,167,10.85365854
411,122,10.85158151
412,162,10.88592233
413,180,10.90556901
414,205,10.92995169
415,167,10.93493976
416,164,10.95192308
417,137,10.95683453
418,186,10.98325359
419,173,11
420,143,11.00238095
421,195,11.02137767
422,177,11.03791469
423,218,11.07328605
424,156,11.10377358
425,163,11.11058824
426,180,11.12910798
427,156,11.13583138
428,194,11.17523364
429,157,11.17948718
430,122,11.18372093
431,131,11.18329466
432,192,11.22222222
433,156,11.23325635
434,123,11.2281106
435,139,11.22988506
436,194,11.25917431
437,150,11.26086957
438,144,11.26255708
439,175,11.27790433
440,171,11.28636364
441,167,11.31972789
442,119,11.31674208
443,135,11.31602709
444,162,11.33108108
445,155,11.34157303
446,103,11.33408072
447,153,11.34451902
448,154,11.35491071
449,166,11.3674833
450,178,11.38444444
451,158,11.41463415
452,122,11.41814159
453,182,11.45033113
454,176,11.47356828
455,158,11.49230769
456,103,11.48464912
457,147,11.49234136
458,200,11.52183406
459,195,11.5577342
460,122,11.56086957
461,145,11.57700651
462,202,11.5995671
463,153,11.60907127
464,174,11.62284483
465,172,11.63010753
466,138,11.63090129
467,186,11.64668094
468,178,11.66666667
469,188,11.70149254
470,182,11.7212766
471,162,11.73248408
472,169,11.73728814
473,170,11.74418605
474,166,11.7742616
475,155,11.79789474
476,195,11.82352941
477,181,11.83018868
478,124,11.82635983
479,205,11.85386221
480,171,11.87291667
481,35,11.84823285
482,169,11.8526971
483,146,11.85921325
484,190,11.8677686
485,188,11.90103093
486,193,11.93415638
487,182,11.96303901
488,82,11.94877049
489,143,11.94887526
490,153,11.96530612
491,183,11.98778004
492,155,11.99796748
493,163,12.0020284
494,157,12.02834008
495,179,12.04242424
496,114,12.03629032
497,136,12.03420523
498,152,12.03614458
499,141,12.03607214
500,124,12.032
501,189,12.06187625
502,197,12.09561753
503,184,12.11133201
504,145,12.11111111
505,189,12.13267327
506,176,12.15217391
507,112,12.14595661
508,163,12.15551181
509,171,12.16699411
510,201,12.17647059
511,149,12.18395303
512,154,12.18554688
513,146,12.19298246
514,111,12.1848249
515,182,12.2
516,157,12.20930233
517,179,12.22243714
518,139,12.22586873
519,160,12.23506744
520,193,12.25576923
521,168,12.26679463
522,140,12.26628352
523,144,12.26577438
524,153,12.27290076
525,194,12.30285714
526,148,12.30988593
527,174,12.32258065
528,159,12.33143939
529,165,12.34215501
530,157,12.34150943
531,174,12.35216573
532,160,12.36654135
533,172,12.37711069
534,197,12.4082397
535,128,12.40373832
536,130,12.39925373
537,161,12.40223464
538,168,12.41821561
539,191,12.42486085
540,173,12.43703704
541,184,12.46210721
542,149,12.46863469
543,168,12.47697974
544,184,12.49448529
545,141,12.49908257
546,150,12.52014652
547,147,12.52650823
548,178,12.53832117
549,176,12.55009107
550,194,12.57818182
551,114,12.57168784
552,171,12.57608696
553,179,12.58589512
554,124,12.58122744
555,188,12.59459459
556,196,12.62410072
557,108,12.61579892
558,130,12.61827957
559,180,12.62969589
560,120,12.62321429
561,190,12.65062389
562,134,12.64768683
563,165,12.660746
564,193,12.68085106
565,189,12.69380531
566,149,12.69787986
567,149,12.70194004
568,190,12.72711268
569,171,12.73110721
570,140,12.73508772
571,183,12.74781086
572,114,12.73951049
573,174,12.7486911
574,181,12.75087108
575,180,12.76347826
576,149,12.76215278
577,162,12.7677643
578,158,12.77508651
579,161,12.78238342
580,184,12.80689655
581,196,12.83476764
582,188,12.84707904
583,164,12.85591767
584,183,12.86815068
585,113,12.85982906
586,172,12.86177474
587,154,12.86201022
588,176,12.86394558
589,118,12.8573854
590,190,12.88305085
591,174,12.89340102
592,172,12.90202703
593,155,12.91905565
594,169,12.93265993
595,173,12.94285714
596,154,12.94798658
597,165,12.96147404
598,182,12.98494983
599,91,12.97328881
600,202,12.98833333
601,192,13.01164725
602,155,13.02990033
603,151,13.039801
604,189,13.06291391
605,142,13.06115702
606,151,13.07755776
607,126,13.07413509
608,156,13.08059211
609,215,13.10180624
610,167,13.10819672
611,159,13.11947627
612,183,13.13562092
613,199,13.15497553
614,163,13.17263844
615,185,13.19349593
616,148,13.19642857
617,185,13.21231767
618,162,13.2184466
619,183,13.22778675
620,153,13.22741935
621,169,13.24798712
622,192,13.26045016
