Episode,Steps,Reward
1,53,1
2,56,1.5
3,70,2
4,69,2.25
5,64,2.4
6,61,2.5
7,72,2.285714286
8,63,2.125
9,61,2.222222222
10,54,2.2
11,93,2.545454545
12,61,2.5
13,52,2.307692308
14,68,2.642857143
15,103,2.8
16,61,2.75
17,64,2.588235294
18,76,2.666666667
19,82,2.684210526
20,50,2.6
21,47,2.476190476
22,81,2.590909091
23,76,2.565217391
24,43,2.5
25,63,2.52
26,53,2.461538462
27,62,2.481481481
28,76,2.535714286
29,49,2.482758621
30,56,2.4
31,73,2.419354839
32,47,2.375
33,50,2.333333333
34,85,2.382352941
35,110,2.485714286
36,57,2.472222222
37,46,2.432432432
38,51,2.394736842
39,61,2.384615385
40,66,2.4
41,52,2.365853659
42,52,2.333333333
43,61,2.325581395
44,71,2.340909091
45,73,2.377777778
46,80,2.413043478
47,65,2.404255319
48,48,2.375
49,59,2.367346939
50,51,2.34
51,45,2.31372549
52,51,2.307692308
53,63,2.320754717
54,70,2.333333333
55,46,2.309090909
56,96,2.357142857
57,56,2.315789474
58,84,2.362068966
59,72,2.389830508
60,72,2.4
61,50,2.360655738
62,53,2.35483871
63,90,2.396825397
64,38,2.375
65,46,2.353846154
66,63,2.348484848
67,48,2.313432836
68,49,2.294117647
69,42,2.260869565
70,58,2.271428571
71,57,2.267605634
72,77,2.291666667
73,41,2.260273973
74,66,2.27027027
75,74,2.28
76,69,2.289473684
77,82,2.311688312
78,53,2.294871795
79,72,2.303797468
80,47,2.2875
81,93,2.320987654
82,58,2.292682927
83,46,2.277108434
84,55,2.261904762
85,77,2.282352941
86,58,2.26744186
87,63,2.275862069
88,46,2.261363636
89,52,2.258426966
90,50,2.255555556
91,48,2.241758242
92,61,2.239130435
93,47,2.225806452
94,82,2.234042553
95,72,2.242105263
96,66,2.239583333
97,44,2.216494845
98,45,2.204081633
99,63,2.202020202
100,72,2.2
101,130,2.277227723
102,75,2.274509804
103,77,2.291262136
104,53,2.288461538
105,45,2.276190476
106,56,2.264150943
107,86,2.280373832
108,83,2.305555556
109,97,2.348623853
110,41,2.327272727
111,60,2.324324324
112,60,2.3125
113,110,2.345132743
114,73,2.385964912
115,75,2.382608696
116,54,2.379310345
117,71,2.384615385
118,43,2.372881356
119,121,2.386554622
120,64,2.383333333
121,70,2.421487603
122,84,2.418032787
123,87,2.422764228
124,75,2.435483871
125,61,2.424
126,76,2.428571429
127,93,2.464566929
128,88,2.46875
129,107,2.480620155
130,114,2.546153846
131,84,2.580152672
132,76,2.583333333
133,90,2.586466165
134,100,2.649253731
135,83,2.651851852
136,62,2.654411765
137,77,2.686131387
138,101,2.746376812
139,74,2.748201439
140,102,2.778571429
141,53,2.773049645
142,110,2.802816901
143,88,2.832167832
144,64,2.861111111
145,61,2.862068966
146,128,2.890410959
147,105,2.897959184
148,69,2.898648649
149,96,2.953020134
150,85,2.953333333
151,71,2.98013245
152,109,2.986842105
153,70,3.013071895
154,93,3.038961039
155,83,3.032258065
156,103,3.038461538
157,82,3.063694268
158,107,3.113924051
159,88,3.163522013
160,72,3.1875
161,132,3.236024845
162,74,3.259259259
163,106,3.306748466
164,121,3.353658537
165,121,3.375757576
166,93,3.397590361
167,97,3.443113772
168,110,3.464285714
169,140,3.50887574
170,127,3.552941176
171,131,3.573099415
172,106,3.593023256
173,172,3.63583815
174,143,3.67816092
175,110,3.72
176,79,3.738636364
177,106,3.779661017
178,74,3.797752809
179,83,3.815642458
180,104,3.855555556
181,133,3.895027624
182,117,3.934065934
183,98,3.972677596
184,113,4.010869565
185,83,4.027027027
186,117,4.053763441
187,131,4.048128342
188,146,4.058510638
189,120,4.095238095
190,125,4.131578947
191,126,4.167539267
192,132,4.203125
193,131,4.238341969
194,169,4.25257732
195,117,4.287179487
196,81,4.321428571
197,129,4.355329949
198,108,4.368686869
199,66,4.381909548
200,107,4.415
201,101,4.447761194
202,109,4.48019802
203,124,4.497536946
204,114,4.509803922
205,93,4.52195122
206,101,4.553398058
207,129,4.584541063
208,118,4.615384615
209,141,4.645933014
210,140,4.676190476
211,143,4.706161137
212,93,4.735849057
213,115,4.765258216
214,99,4.794392523
215,91,4.823255814
216,140,4.851851852
217,113,4.861751152
218,104,4.871559633
219,162,4.899543379
220,114,4.927272727
221,82,4.954751131
222,117,4.981981982
223,118,4.99103139
224,62,4.977678571
225,127,5.004444444
226,95,5.030973451
227,142,5.057268722
228,99,5.083333333
229,102,5.109170306
230,96,5.134782609
231,124,5.16017316
232,137,5.185344828
233,100,5.210300429
234,101,5.235042735
235,161,5.259574468
236,88,5.283898305
237,76,5.291139241
238,158,5.31512605
239,137,5.338912134
240,119,5.3625
241,84,5.385892116
242,188,5.409090909
243,115,5.432098765
244,97,5.43852459
245,129,5.46122449
246,79,5.451219512
247,147,5.473684211
248,131,5.495967742
249,120,5.518072289
250,96,5.54
251,126,5.561752988
252,87,5.547619048
253,140,5.56916996
254,63,5.559055118
255,114,5.580392157
256,112,5.6015625
257,66,5.591439689
258,129,5.612403101
259,60,5.602316602
260,111,5.623076923
261,123,5.643678161
262,65,5.633587786
263,128,5.653992395
264,119,5.674242424
265,112,5.694339623
266,114,5.714285714
267,121,5.734082397
268,70,5.73880597
269,113,5.758364312
270,110,5.777777778
271,110,5.79704797
272,110,5.816176471
273,109,5.835164835
274,110,5.854014599
275,111,5.872727273
276,62,5.862318841
277,109,5.880866426
278,110,5.899280576
279,110,5.917562724
280,114,5.935714286
281,109,5.953736655
282,112,5.971631206
283,71,5.975265018
284,108,5.992957746
285,112,6.010526316
286,109,6.027972028
287,117,6.045296167
288,108,6.0625
289,110,6.079584775
