Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
575,73,18.34246575,18.34246575,18.34246575
941,74,18.67567568,18.67567568,18.67567568
773,75,18.68,18.68,18.68
825,76,19.02631579,19.02631579,19.02631579
587,77,19,19,19
584,78,18.91025641,18.91025641,18.91025641
773,79,19.02531646,19.02531646,19.02531646
942,80,19.175,19.175,19.175
597,81,19.16049383,19.16049383,19.16049383
757,82,19.25609756,19.25609756,19.25609756
517,83,19.20481928,19.20481928,19.20481928
916,84,19.58333333,19.58333333,19.58333333
851,85,19.91764706,19.91764706,19.91764706
883,86,20.24418605,20.24418605,20.24418605
927,87,20.64367816,20.64367816,20.64367816
806,88,20.98863636,20.98863636,20.98863636
942,89,21.26966292,21.26966292,21.26966292
772,90,21.38888889,21.38888889,21.38888889
846,91,21.56043956,21.56043956,21.56043956
451,92,21.56521739,21.56521739,21.56521739
625,93,21.53763441,21.53763441,21.53763441
616,94,21.76595745,21.76595745,21.76595745
888,95,22.06315789,22.06315789,22.06315789
647,96,22.3125,22.3125,22.3125
1062,97,22.57731959,22.57731959,22.57731959
879,98,22.74489796,22.74489796,22.74489796
828,99,22.97979798,22.97979798,22.97979798
959,100,23.27,23.27,23.27
1054,101,23.42574257,23.42574257,23.42574257
934,102,23.49019608,23.49019608,23.49019608
907,103,23.58252427,23.58252427,23.58252427
805,104,23.77884615,23.77884615,23.77884615
832,105,23.84761905,23.84761905,23.84761905
715,106,23.91509434,23.91509434,23.91509434
952,107,24.23364486,24.23364486,24.23364486
883,108,24.42592593,24.42592593,24.42592593
798,109,24.59633028,24.59633028,24.59633028
859,110,24.78181818,24.78181818,24.78181818
885,111,24.81081081,24.81081081,24.81081081
909,112,24.97321429,24.97321429,24.97321429
973,113,25.10619469,25.10619469,25.10619469
916,114,25.34210526,25.34210526,25.34210526
985,115,25.51304348,25.51304348,25.51304348
898,116,25.56896552,25.56896552,25.56896552
1017,117,25.73504274,25.73504274,25.73504274
926,118,25.94067797,25.94067797,25.94067797
1066,119,26.1512605,26.1512605,26.1512605
1032,120,26.38333333,26.38333333,26.38333333
1134,121,26.61157025,26.61157025,26.61157025
853,122,26.73770492,26.73770492,26.73770492
849,123,26.91869919,26.91869919,26.91869919
780,124,26.87903226,26.87903226,26.87903226
806,125,27.04,27.04,27.04
955,126,27.23809524,27.23809524,27.23809524
1026,127,27.38582677,27.38582677,27.38582677
931,128,27.6328125,27.6328125,27.6328125
1028,129,27.79844961,27.79844961,27.79844961
1008,130,27.96153846,27.96153846,27.96153846
910,131,28.05343511,28.05343511,28.05343511
1041,132,28.20454545,28.20454545,28.20454545
909,133,28.36842105,28.36842105,28.36842105
941,134,28.49253731,28.49253731,28.49253731
1008,135,28.74074074,28.74074074,28.74074074
1058,136,28.94852941,28.94852941,28.94852941
985,137,29.16788321,29.16788321,29.16788321
577,138,29.24637681,29.24637681,29.24637681
975,139,29.30935252,29.30935252,29.30935252
915,140,29.44285714,29.44285714,29.44285714
1116,141,29.65248227,29.65248227,29.65248227
960,142,29.8028169,29.8028169,29.8028169
860,143,29.83916084,29.83916084,29.83916084
986,144,29.91666667,29.91666667,29.91666667
893,145,30.00689655,30.00689655,30.00689655
981,146,30.15753425,30.15753425,30.15753425
939,147,30.27891156,30.27891156,30.27891156
941,148,30.36486486,30.36486486,30.36486486
584,149,30.34899329,30.34899329,30.34899329
1037,150,30.49333333,30.49333333,30.49333333
964,151,30.64900662,30.64900662,30.64900662
524,152,30.69078947,30.69078947,30.69078947
999,153,30.80392157,30.80392157,30.80392157
1055,154,30.98051948,30.98051948,30.98051948
1018,155,31.07741935,31.07741935,31.07741935
833,156,31.05128205,31.05128205,31.05128205
1032,157,31.07006369,31.07006369,31.07006369
852,158,31.14556962,31.14556962,31.14556962
1003,159,31.30188679,31.30188679,31.30188679
1004,160,31.50625,31.50625,31.50625
979,161,31.68322981,31.68322981,31.68322981
672,162,31.7654321,31.7654321,31.7654321
1061,163,31.8404908,31.8404908,31.8404908
914,164,32.04268293,32.04268293,32.04268293
1018,165,32.14545455,32.14545455,32.14545455
1061,166,32.36144578,32.36144578,32.36144578
1066,167,32.56287425,32.56287425,32.56287425
1209,168,32.77380952,32.77380952,32.77380952
913,169,32.9112426,32.9112426,32.9112426
1000,170,33.02941176,33.02941176,33.02941176
725,171,33.11695906,33.11695906,33.11695906
1061,172,33.3372093,33.3372093,33.3372093
830,173,33.46242775,33.46242775,33.46242775
915,174,33.52298851,33.52298851,33.52298851
908,175,33.62857143,33.62857143,33.62857143
684,176,33.54545455,33.54545455,33.54545455
536,177,33.45762712,33.45762712,33.45762712
792,178,33.62359551,33.62359551,33.62359551
947,179,33.70949721,33.70949721,33.70949721
1105,180,33.93888889,33.93888889,33.93888889
845,181,34.0441989,34.0441989,34.0441989
982,182,34.14835165,34.14835165,34.14835165
578,183,34.04918033,34.04918033,34.04918033
635,184,34.16304348,34.16304348,34.16304348
881,185,34.19459459,34.19459459,34.19459459
807,186,34.25806452,34.25806452,34.25806452
861,187,34.39572193,34.39572193,34.39572193
1109,188,34.5212766,34.5212766,34.5212766
960,189,34.73544974,34.73544974,34.73544974
1144,190,34.82631579,34.82631579,34.82631579
1034,191,34.93193717,34.93193717,34.93193717
1103,192,35.05729167,35.05729167,35.05729167
1046,193,35.10362694,35.10362694,35.10362694
997,194,35.17010309,35.17010309,35.17010309
1079,195,35.32307692,35.32307692,35.32307692
1091,196,35.55102041,35.55102041,35.55102041
1045,197,35.74619289,35.74619289,35.74619289
1089,198,35.82828283,35.82828283,35.82828283
1013,199,35.88944724,35.88944724,35.88944724
848,200,35.915,35.915,35.915
722,201,35.96517413,35.96517413,35.96517413
989,202,36.0049505,36.0049505,36.0049505
808,203,36.09359606,36.09359606,36.09359606
1097,204,36.30882353,36.30882353,36.30882353
961,205,36.37073171,36.37073171,36.37073171
1227,206,36.55339806,36.55339806,36.55339806
1120,207,37.36714976,37.36714976,37.36714976
1135,208,37.54326923,37.54326923,37.54326923
1101,209,37.80861244,37.80861244,37.80861244
1125,210,38.12857143,38.12857143,38.12857143
1128,211,38.30805687,38.30805687,38.30805687
696,212,38.36792453,38.36792453,38.36792453
1181,213,38.61032864,38.61032864,38.61032864
1185,214,38.74766355,38.74766355,38.74766355
1041,215,38.93023256,38.93023256,38.93023256
1161,216,39.11574074,39.11574074,39.11574074
1151,217,39.30875576,39.30875576,39.30875576
584,218,39.35779817,39.35779817,39.35779817
832,219,39.28767123,39.28767123,39.28767123
1071,220,39.55454545,39.55454545,39.55454545
1191,221,39.81900452,39.81900452,39.81900452
1034,222,39.96846847,39.96846847,39.96846847
940,223,40.0044843,40.0044843,40.0044843
1397,224,41.27678571,41.27678571,41.27678571
1483,225,42.8,42.8,42.8
1094,226,43.03539823,43.03539823,43.03539823
1282,227,44.30396476,44.30396476,44.30396476
1041,228,44.40350877,44.40350877,44.40350877
858,229,44.34934498,44.34934498,44.34934498
788,230,44.26956522,44.26956522,44.26956522
453,231,44.12121212,44.12121212,44.12121212
562,232,43.99568966,43.99568966,43.99568966
419,233,43.84549356,43.84549356,43.84549356
886,234,43.81196581,43.81196581,43.81196581
709,235,43.72340426,43.72340426,43.72340426
886,236,43.71610169,43.71610169,43.71610169
1064,237,43.84388186,43.84388186,43.84388186
1182,238,44.1092437,44.1092437,44.1092437
1355,239,45.17991632,45.17991632,45.17991632
1075,240,45.22083333,45.22083333,45.22083333
917,241,45.24481328,45.24481328,45.24481328
862,242,45.24380165,45.24380165,45.24380165
1275,243,45.91358025,45.91358025,45.91358025
1145,244,46.23770492,46.23770492,46.23770492
958,245,46.2,46.2,46.2
868,246,46.15447154,46.15447154,46.15447154
816,247,46.10526316,46.10526316,46.10526316
950,248,46.06854839,46.06854839,46.06854839
888,249,46.01606426,46.01606426,46.01606426
1092,250,46.024,46.024,46.024
1025,251,45.99601594,45.99601594,45.99601594
1082,252,46.02777778,46.02777778,46.02777778
910,253,45.98023715,45.98023715,45.98023715
978,254,45.96062992,45.96062992,45.96062992
618,255,45.91764706,45.91764706,45.91764706
927,256,45.83984375,45.83984375,45.83984375
732,257,45.75486381,45.75486381,45.75486381
573,258,45.69767442,45.69767442,45.69767442
1053,259,45.83783784,45.83783784,45.83783784
1078,260,45.91153846,45.91153846,45.91153846
1216,261,46.00766284,46.00766284,46.00766284
1085,262,46.08015267,46.08015267,46.08015267
1071,263,46.13688213,46.13688213,46.13688213
1096,264,46.15530303,46.15530303,46.15530303
924,265,46.13962264,46.13962264,46.13962264
952,266,46.10526316,46.10526316,46.10526316
1200,267,46.40074906,46.40074906,46.40074906
1039,268,46.48880597,46.48880597,46.48880597
1114,269,46.47211896,46.47211896,46.47211896
539,270,46.38518519,46.38518519,46.38518519
1027,271,46.47232472,46.47232472,46.47232472
1037,272,46.52205882,46.52205882,46.52205882
820,273,46.48717949,46.48717949,46.48717949
882,274,46.55474453,46.55474453,46.55474453
1066,275,46.61090909,46.61090909,46.61090909
1190,276,46.72101449,46.72101449,46.72101449
1083,277,46.75451264,46.75451264,46.75451264
1344,278,47.23381295,47.23381295,47.23381295
1496,279,48.04301075,48.04301075,48.04301075
1217,280,48.17857143,48.17857143,48.17857143
1101,281,48.34519573,48.34519573,48.34519573
1299,282,49.29078014,49.29078014,49.29078014
1017,283,49.27208481,49.27208481,49.27208481
876,284,49.26056338,49.26056338,49.26056338
623,285,49.24210526,49.24210526,49.24210526
669,286,49.24125874,49.24125874,49.24125874
733,287,49.12543554,49.12543554,49.12543554
632,288,49.09722222,49.09722222,49.09722222
758,289,49.10034602,49.10034602,49.10034602
911,290,49.2,49.2,49.2
1076,291,49.27491409,49.27491409,49.27491409
1327,292,49.51027397,49.51027397,49.51027397
954,293,49.54266212,49.54266212,49.54266212
789,294,49.54081633,49.54081633,49.54081633
754,295,49.44745763,49.44745763,49.44745763
533,296,49.34459459,49.34459459,49.34459459
529,297,49.23569024,49.23569024,49.23569024
1243,298,49.83892617,49.83892617,49.83892617
1206,299,50.04682274,50.04682274,50.04682274
1333,300,50.27333333,50.27333333,50.27333333
1049,301,50.30564784,50.30564784,50.30564784
620,302,50.29801325,50.29801325,50.29801325
1336,303,50.84818482,50.84818482,50.84818482
956,304,50.92434211,50.92434211,50.92434211
1042,305,51.01311475,51.01311475,51.01311475
