Episode,Steps,Reward
317,1331,99.78864353
318,1325,100.5880503
319,1406,101.2978056
320,1376,102.084375
321,1371,102.8442368
322,869,102.6180124
323,903,102.4148607
324,1022,102.4166667
325,839,102.2492308
326,893,102.0858896
327,1427,102.9021407
328,1424,103.6707317
329,1105,103.6869301
330,989,103.5454545
331,1442,104.3504532
332,1184,105.0512048
333,1250,105.1831832
334,1384,105.9520958
335,1497,106.361194
336,1509,107.139881
337,1386,107.3145401
338,1499,108.0857988
339,571,107.8495575
340,846,107.6294118
341,856,107.4105572
342,2429,108.2017544
343,1360,108.9358601
344,1521,109.7122093
345,938,109.515942
346,982,109.3959538
347,963,109.1757925
348,1318,109.7356322
349,1464,110.47851
350,1367,110.7628571
351,1354,111.0997151
352,731,110.8806818
353,1576,111.6345609
354,1500,112.3587571
355,1539,113.1211268
356,1162,113.1460674
357,879,112.929972
358,709,112.6955307
359,824,112.5153203
360,866,112.3027778
361,959,112.199446
362,1038,112.1243094
363,1223,112.1955923
364,969,112.0796703
365,1024,111.9753425
366,1105,111.9644809
367,1272,112.1961853
368,986,112.0706522
369,953,111.9105691
370,843,111.7297297
371,1304,111.9892183
372,1134,111.9919355
373,1099,111.919571
374,1121,111.8315508
375,1172,111.9546667
376,1713,112.6090426
377,1502,113.2307692
378,455,112.9656085
379,867,112.8205805
380,999,112.6868421
381,628,112.4383202
382,1136,112.4109948
383,1447,113.0391645
384,919,112.8645833
385,788,112.6623377
386,695,112.4481865
387,1062,112.4082687
388,1093,112.3840206
389,1599,113.0488432
390,1586,113.7128205
391,864,113.516624
392,984,113.4617347
393,1118,113.4961832
394,1048,113.4314721
395,828,113.2151899
396,1041,113.1515152
397,1306,113.6599496
398,2150,114.2713568
399,1003,114.1729323
400,1219,114.3675
401,1107,114.3216958
402,1556,114.9328358
403,1463,115.4689826
404,1167,115.4207921
405,683,115.2
406,922,115.0197044
407,710,114.8157248
408,843,114.6936275
409,1207,114.606357
410,1377,114.8926829
411,1366,115.1484185
412,1393,115.2427184
413,1525,115.3583535
414,1202,115.3357488
415,1434,115.9277108
416,2276,116.5288462
417,1001,116.4172662
418,888,116.2272727
419,1317,116.7159905
420,822,116.5761905
421,814,116.4441805
422,879,116.3578199
423,965,116.2222222
424,729,116.0141509
425,1209,116.0423529
426,1332,116.1314554
427,1156,116.0234192
428,1189,116.161215
429,1244,116.2307692
430,1052,116.1488372
431,958,116.1020882
432,1067,116.0856481
433,1129,116.0184758
434,1379,116.1428571
435,712,115.9310345
436,716,115.7431193
437,756,115.5560641
438,1416,115.7990868
439,1484,116.047836
440,817,115.8931818
441,1421,116.38322
442,1438,116.8529412
443,874,116.7133183
444,1148,116.7297297
445,1408,117.211236
446,1076,117.2085202
447,1142,117.246085
448,1267,117.390625
449,1243,117.4320713
450,1281,117.9
451,1335,118.3392461
452,1460,118.5199115
453,807,118.3399558
454,933,118.1740088
455,1338,118.410989
456,1304,118.8640351
457,1398,119.3763676
458,1365,119.779476
459,1105,120.2156863
460,1137,120.1913043
461,1169,120.132321
462,853,119.9588745
463,775,119.7451404
464,824,119.5689655
465,916,119.3913978
466,1143,119.3583691
467,1010,119.2976445
468,964,119.1730769
469,782,119.0021322
470,1219,119
471,1508,119.3036093
472,1369,119.7669492
473,1102,119.6744186
474,1008,119.5253165
475,761,119.3431579
476,1147,119.3046218
477,1134,119.2704403
478,1198,119.2970711
479,512,119.0814196
480,1235,119.14375
481,1333,119.6382536
482,1315,120.1120332
483,1239,120.1345756
484,797,119.9690083
485,1103,119.828866
486,1275,119.872428
487,1077,119.7926078
488,1342,119.9959016
489,1186,120.408998
490,1143,120.3326531
491,1236,120.6395112
492,1099,120.5650407
493,774,120.3914807
494,779,120.208502
495,1234,120.3050505
496,697,120.1108871
497,656,119.9315895
498,1057,119.8554217
499,1024,119.7835671
500,1066,120.042
501,673,119.8403194
502,1012,119.7390438
503,1140,119.749503
504,1007,119.6626984
505,1291,119.8910891
506,1092,119.8577075
507,855,119.6824458
508,779,119.5255906
509,1138,119.4695481
510,1136,119.3784314
511,1161,119.3855186
512,815,119.21875
513,767,119.0487329
514,1427,119.2315175
